task_type,difficulty,test_input,expected_answer,prediction,is_correct,test_id,ut_steps,full_response,generation_time,generated_tokens,input_tokens,is_degenerate
n_ary,2_ops,530 + 293 =,823,823,True,cd77728c,12,[FINAL]  823,32.98387444899981,4,235,False
n_ary,2_ops,830 + 005 =,835,835,True,4c91d79d,12,[FINAL]  835,32.98387444899981,4,235,False
n_ary,2_ops,177 + 095 =,272,232,False,1018db33,12,[FINAL]  232,32.98387444899981,4,235,False
n_ary,2_ops,293 + 421 =,714,714,True,3ee4b11d,12,[FINAL]  714,32.98387444899981,4,235,False
n_ary,2_ops,082 + 571 =,653,123,False,25edf976,12,[FINAL]  123,32.98387444899981,4,235,False
n_ary,2_ops,839 + 970 =,1809,1799,False,f6b99cb4,12,[FINAL]  1799,32.98387444899981,5,235,False
n_ary,2_ops,418 + 096 =,514,504,False,66f0a43a,12,[FINAL]  504,32.98387444899981,4,235,False
n_ary,2_ops,722 + 431 =,1153,1053,False,9332058f,12,[FINAL]  1053,32.98387444899981,5,235,False
n_ary,2_ops,585 + 527 =,1112,1132,False,a2e18723,12,[FINAL]  1132,44.31321610800023,5,235,False
n_ary,2_ops,300 + 281 =,581,581,True,d27020f9,12,[FINAL]  581,44.31321610800023,4,235,False
n_ary,2_ops,009 + 501 =,510,510,True,6cbcf614,12,[FINAL]  510,44.31321610800023,4,235,False
n_ary,2_ops,547 + 372 =,919,909,False,f034d1e9,12,[FINAL]  909,44.31321610800023,4,235,False
n_ary,2_ops,756 + 354 =,1110,1110,True,066e4b17,12,[FINAL]  1110,44.31321610800023,5,235,False
n_ary,2_ops,679 + 790 =,1469,1399,False,25ac6504,12,[FINAL]  1399,44.31321610800023,5,235,False
n_ary,2_ops,220 + 170 =,390,370,False,950d5a94,12,[FINAL]  370,44.31321610800023,4,235,False
n_ary,2_ops,114 + 599 =,713,144,False,ba7b61c3,12,[FINAL]  144 + 599 = 743,44.31321610800023,14,235,False
n_ary,2_ops,969 + 911 =,1880,1911,False,ae3a4aa7,12,[FINAL]  1911,45.2706603380002,5,235,False
n_ary,2_ops,471 + 030 =,501,411,False,028c64c8,12,[FINAL]  411 + 030 = 411 + ,45.2706603380002,16,235,False
n_ary,2_ops,609 + 648 =,1257,1347,False,f8d9cf20,12,[FINAL]  1347,45.2706603380002,5,235,False
n_ary,2_ops,211 + 272 =,483,483,True,27427157,12,[FINAL]  483,45.2706603380002,4,235,False
n_ary,2_ops,631 + 339 =,970,1030,False,2e244dba,12,[FINAL]  1030,45.2706603380002,5,235,False
n_ary,2_ops,805 + 953 =,1758,1808,False,d3fe52a6,12,[FINAL]  1808,45.2706603380002,5,235,False
n_ary,2_ops,053 + 702 =,755,755,True,0fb83b6b,12,[FINAL]  755,45.2706603380002,4,235,False
n_ary,2_ops,031 + 870 =,901,801,False,c72d0235,12,[FINAL]  801,45.2706603380002,4,235,False
n_ary,2_ops,319 + 493 =,812,812,True,bf036eb7,12,[FINAL]  812,44.40867744399975,4,235,False
n_ary,2_ops,095 + 650 =,745,1050,False,74ee6141,12,[FINAL]  1050,44.40867744399975,5,235,False
