Task,UT Steps,Accuracy,Model,Category
var_assign_depth_0_code,2,95.0,Ouro,Reasoning Primitives
var_assign_depth_0_code,3,97.0,Ouro,Reasoning Primitives
var_assign_depth_0_code,4,35.0,Ouro,Reasoning Primitives
var_assign_depth_0_code,6,98.0,Ouro,Reasoning Primitives
var_assign_depth_0_code,7,99.0,Ouro,Reasoning Primitives
var_assign_depth_0_code,8,20.0,Ouro,Reasoning Primitives
var_assign_depth_0_code,12,96.0,Ouro,Reasoning Primitives
var_assign_depth_0_equation,2,93.0,Ouro,Reasoning Primitives
var_assign_depth_0_equation,3,100.0,Ouro,Reasoning Primitives
var_assign_depth_0_equation,4,39.0,Ouro,Reasoning Primitives
var_assign_depth_0_equation,6,100.0,Ouro,Reasoning Primitives
var_assign_depth_0_equation,7,100.0,Ouro,Reasoning Primitives
var_assign_depth_0_equation,8,31.0,Ouro,Reasoning Primitives
var_assign_depth_0_equation,12,86.0,Ouro,Reasoning Primitives
var_assign_depth_0_math,2,100.0,Ouro,Reasoning Primitives
var_assign_depth_0_math,3,100.0,Ouro,Reasoning Primitives
var_assign_depth_0_math,4,27.0,Ouro,Reasoning Primitives
var_assign_depth_0_math,6,100.0,Ouro,Reasoning Primitives
var_assign_depth_0_math,7,100.0,Ouro,Reasoning Primitives
var_assign_depth_0_math,8,28.0,Ouro,Reasoning Primitives
var_assign_depth_0_math,12,88.0,Ouro,Reasoning Primitives
var_assign_depth_1_code,2,70.0,Ouro,Reasoning Primitives
var_assign_depth_1_code,3,89.0,Ouro,Reasoning Primitives
var_assign_depth_1_code,4,32.0,Ouro,Reasoning Primitives
var_assign_depth_1_code,6,95.0,Ouro,Reasoning Primitives
var_assign_depth_1_code,7,96.0,Ouro,Reasoning Primitives
var_assign_depth_1_code,8,19.0,Ouro,Reasoning Primitives
var_assign_depth_1_code,12,80.0,Ouro,Reasoning Primitives
var_assign_depth_1_equation,2,79.0,Ouro,Reasoning Primitives
var_assign_depth_1_equation,3,88.0,Ouro,Reasoning Primitives
var_assign_depth_1_equation,4,35.0,Ouro,Reasoning Primitives
var_assign_depth_1_equation,6,98.0,Ouro,Reasoning Primitives
var_assign_depth_1_equation,7,92.0,Ouro,Reasoning Primitives
var_assign_depth_1_equation,8,20.0,Ouro,Reasoning Primitives
var_assign_depth_1_equation,12,88.0,Ouro,Reasoning Primitives
var_assign_depth_1_math,2,77.0,Ouro,Reasoning Primitives
var_assign_depth_1_math,3,93.0,Ouro,Reasoning Primitives
var_assign_depth_1_math,4,36.0,Ouro,Reasoning Primitives
var_assign_depth_1_math,6,94.0,Ouro,Reasoning Primitives
var_assign_depth_1_math,7,95.0,Ouro,Reasoning Primitives
var_assign_depth_1_math,8,26.0,Ouro,Reasoning Primitives
var_assign_depth_1_math,12,94.0,Ouro,Reasoning Primitives
